INSERT ALL
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00001', 'Valerie', 'Dominguez', TO_DATE('1995-06-20', 'YYYY-MM-DD'), 'Couple', 'O', 'L00053', 'robertwilliams@example.org', '808-871-7463x82')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00023', 'Kelli', 'Smith', TO_DATE('1966-06-10', 'YYYY-MM-DD'), 'Senior Citizen', 'M', 'L00002', 'hernandezricky@example.org', '511.345.8062x54')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00024', 'Tony', 'Hernandez', TO_DATE('1973-03-31', 'YYYY-MM-DD'), 'Group', 'M', 'L00091', 'zhart@example.com', '738-827-6336')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00025', 'Michael', 'Schaefer', TO_DATE('1964-01-26', 'YYYY-MM-DD'), 'Senior Citizen', 'F', 'L00005', 'kperkins@example.com', '001-283-993-740')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00026', 'Thomas', 'Johnston', TO_DATE('1987-01-22', 'YYYY-MM-DD'), 'Couple', 'M', 'L00080', 'gilbertchristian@example.net', '515-755-8180x47')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00027', 'Ricky', 'Adams', TO_DATE('1958-03-08', 'YYYY-MM-DD'), 'Senior Citizen', 'O', 'L00035', 'matthewcosta@example.com', '+1-907-809-1439')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00028', 'Theresa', 'Williams', TO_DATE('1992-11-25', 'YYYY-MM-DD'), 'Couple', 'M', 'L00090', 'kimberlyunderwood@example.org', '(989)931-2575x0')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00029', 'Lori', 'Mccoy', TO_DATE('1991-02-08', 'YYYY-MM-DD'), 'Couple', 'M', 'L00035', 'richardscott@example.net', '(848)424-4683')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00030', 'Tiffany', 'Parks', TO_DATE('1986-05-15', 'YYYY-MM-DD'), 'Couple', 'M', 'L00076', 'shicks@example.org', '(980)996-2202x1')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00031', 'John', 'Garcia', TO_DATE('1966-06-15', 'YYYY-MM-DD'), 'Senior Citizen', 'F', 'L00028', 'claytonhill@example.com', '6567934204')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00032', 'Mathew', 'Daniels', TO_DATE('1958-04-23', 'YYYY-MM-DD'), 'Senior Citizen', 'F', 'L00040', 'diana86@example.net', '617-627-5360x17')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00033', 'Kyle', 'Johnston', TO_DATE('1970-09-05', 'YYYY-MM-DD'), 'Group', 'M', 'L00106', 'nicholsmichelle@example.net', '944.700.0780')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00034', 'Jodi', 'Glover', TO_DATE('1997-11-29', 'YYYY-MM-DD'), 'Couple', 'F', 'L00024', 'marystewart@example.org', '(770)728-1117x7')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00035', 'Chris', 'Walker', TO_DATE('1960-11-25', 'YYYY-MM-DD'), 'Senior Citizen', 'M', 'L00099', 'yharrison@example.com', '(573)615-6639x9')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00036', 'Susan', 'Gordon', TO_DATE('1947-09-21', 'YYYY-MM-DD'), 'Senior Citizen', 'M', 'L00086', 'erinbrewer@example.org', '750-619-5815')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00037', 'Alexander', 'Vasquez', TO_DATE('1997-04-24', 'YYYY-MM-DD'), 'Couple', 'M', 'L00012', 'jessicagraham@example.com', '001-496-837-432')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00038', 'David', 'Miller', TO_DATE('2002-03-22', 'YYYY-MM-DD'), 'Student', 'O', 'L00070', 'phillip59@example.com', '811.336.8639')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00039', 'Matthew', 'Jenkins', TO_DATE('1951-05-03', 'YYYY-MM-DD'), 'Senior Citizen', 'M', 'L00056', 'francisco73@example.net', '4419925576')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00040', 'Patricia', 'Hernandez', TO_DATE('2000-10-16', 'YYYY-MM-DD'), 'Student', 'M', 'L00093', 'jennifer44@example.org', '+1-548-868-2996')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00041', 'John', 'Morrison', TO_DATE('1972-08-05', 'YYYY-MM-DD'), 'Group', 'F', 'L00023', 'david44@example.com', '871-883-2440x91')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00042', 'James', 'Webster', TO_DATE('1944-12-06', 'YYYY-MM-DD'), 'Senior Citizen', 'F', 'L00082', 'gwendolynthomas@example.net', '604.807.0852')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00043', 'Carlos', 'Horn', TO_DATE('1976-04-10', 'YYYY-MM-DD'), 'Group', 'O', 'L00017', 'kaylasharp@example.com', '648-260-0538x53')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00044', 'Andrew', 'Garcia', TO_DATE('2005-03-01', 'YYYY-MM-DD'), 'Student', 'M', 'L00094', 'hgutierrez@example.com', '001-429-620-086')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00045', 'Jamie', 'Krause', TO_DATE('1991-08-12', 'YYYY-MM-DD'), 'Couple', 'F', 'L00072', 'rburke@example.com', '+1-955-433-6437')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00046', 'Selena', 'Williams', TO_DATE('1963-05-19', 'YYYY-MM-DD'), 'Senior Citizen', 'O', 'L00058', 'thomas87@example.com', '913-494-3274x82')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00047', 'Mark', 'Carter', TO_DATE('1993-01-12', 'YYYY-MM-DD'), 'Couple', 'O', 'L00042', 'melissa85@example.org', '9289505864')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00048', 'Kathleen', 'Velazquez', TO_DATE('1950-01-22', 'YYYY-MM-DD'), 'Senior Citizen', 'O', 'L00082', 'whitelindsay@example.net', '001-878-229-997')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00049', 'Jeffrey', 'Allen', TO_DATE('1949-07-17', 'YYYY-MM-DD'), 'Senior Citizen', 'M', 'L00015', 'mariestone@example.net', '(461)579-1113')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00050', 'Lacey', 'Kelley', TO_DATE('1946-04-05', 'YYYY-MM-DD'), 'Senior Citizen', 'M', 'L00050', 'patricktodd@example.com', '001-894-856-419')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00051', 'Jennifer', 'Smith', TO_DATE('1957-02-06', 'YYYY-MM-DD'), 'Senior Citizen', 'O', 'L00018', 'zfrost@example.org', '868-822-1463')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00052', 'Angela', 'Smith', TO_DATE('1995-05-02', 'YYYY-MM-DD'), 'Couple', 'F', 'L00040', 'david57@example.org', '600.830.1258x59')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00053', 'Joseph', 'Cunningham', TO_DATE('1972-06-21', 'YYYY-MM-DD'), 'Group', 'F', 'L00078', 'qgrimes@example.com', '5058362768')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00054', 'Brent', 'Jones', TO_DATE('1979-04-22', 'YYYY-MM-DD'), 'Group', 'F', 'L00058', 'dbush@example.com', '860-206-2780x93')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00055', 'Teresa', 'Lopez', TO_DATE('1947-05-19', 'YYYY-MM-DD'), 'Senior Citizen', 'F', 'L00025', 'denise57@example.com', '377.539.3276x19')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00056', 'Sean', 'Bishop', TO_DATE('1962-12-24', 'YYYY-MM-DD'), 'Senior Citizen', 'M', 'L00090', 'michaelguzman@example.org', '7144574866')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00057', 'Diane', 'Jackson', TO_DATE('1966-05-01', 'YYYY-MM-DD'), 'Senior Citizen', 'F', 'L00074', 'xtaylor@example.net', '+1-634-271-6943')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00058', 'Jennifer', 'Alexander', TO_DATE('1981-03-08', 'YYYY-MM-DD'), 'Group', 'M', 'L00044', 'rtanner@example.org', '994-324-7010')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00059', 'Kimberly', 'Robinson', TO_DATE('1977-01-31', 'YYYY-MM-DD'), 'Group', 'O', 'L00033', 'joshua57@example.net', '+1-436-609-3107')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00060', 'Christopher', 'Murray', TO_DATE('1952-10-26', 'YYYY-MM-DD'), 'Senior Citizen', 'F', 'L00092', 'mhall@example.net', '+1-366-671-5892')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00061', 'Rebecca', 'Reid', TO_DATE('1981-07-27', 'YYYY-MM-DD'), 'Group', 'F', 'L00081', 'ymiller@example.net', '001-428-577-870')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00062', 'Russell', 'King', TO_DATE('1990-03-31', 'YYYY-MM-DD'), 'Couple', 'O', 'L00045', 'ashley29@example.net', '001-739-253-281')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00063', 'Christopher', 'Vincent', TO_DATE('2001-07-27', 'YYYY-MM-DD'), 'Student', 'F', 'L00071', 'kevinscott@example.org', '781-570-6901')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00064', 'Connie', 'Reynolds', TO_DATE('1948-05-19', 'YYYY-MM-DD'), 'Senior Citizen', 'F', 'L00006', 'gzimmerman@example.org', '855-366-1269x01')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00065', 'Kayla', 'Garrison', TO_DATE('1969-03-11', 'YYYY-MM-DD'), 'Group', 'M', 'L00084', 'dkelly@example.net', '(704)342-4492')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00066', 'David', 'Barnes', TO_DATE('1959-01-24', 'YYYY-MM-DD'), 'Senior Citizen', 'M', 'L00070', 'ppeterson@example.com', '(927)324-4027x1')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00067', 'Stephanie', 'Alvarado', TO_DATE('1986-02-20', 'YYYY-MM-DD'), 'Couple', 'F', 'L00009', 'phillip28@example.com', '398.753.6881x98')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00068', 'Gail', 'Williams', TO_DATE('1956-01-28', 'YYYY-MM-DD'), 'Senior Citizen', 'O', 'L00083', 'kellysheppard@example.org', '459.668.7436')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00069', 'Shelby', 'Gray', TO_DATE('2001-06-29', 'YYYY-MM-DD'), 'Student', 'O', 'L00090', 'mckinneybrett@example.net', '507.807.1679x42')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00070', 'Joe', 'Robertson', TO_DATE('1973-04-22', 'YYYY-MM-DD'), 'Group', 'M', 'L00048', 'ugonzalez@example.com', '967-861-8778x46')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00071', 'Michael', 'Evans', TO_DATE('1964-05-07', 'YYYY-MM-DD'), 'Senior Citizen', 'M', 'L00020', 'sarahstrong@example.com', '5746607660')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00072', 'Eric', 'Gordon', TO_DATE('1990-12-16', 'YYYY-MM-DD'), 'Couple', 'M', 'L00037', 'schmidtcory@example.net', '288-582-9796')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00073', 'Aaron', 'Douglas', TO_DATE('1948-03-14', 'YYYY-MM-DD'), 'Senior Citizen', 'O', 'L00047', 'alexandriadoyle@example.net', '001-904-699-720')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00074', 'John', 'Collins', TO_DATE('1949-05-20', 'YYYY-MM-DD'), 'Senior Citizen', 'F', 'L00029', 'ssimmons@example.com', '647.641.7698')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00075', 'Laura', 'Sherman', TO_DATE('1976-04-26', 'YYYY-MM-DD'), 'Group', 'F', 'L00060', 'cynthiagriffin@example.net', '9074613263')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00076', 'Roger', 'Barron', TO_DATE('1951-12-26', 'YYYY-MM-DD'), 'Senior Citizen', 'F', 'L00028', 'jamesgreene@example.com', '(255)932-3950x2')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00077', 'Caleb', 'Johnson', TO_DATE('1998-10-29', 'YYYY-MM-DD'), 'Couple', 'M', 'L00011', 'ajohnson@example.net', '+1-743-983-2148')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00078', 'Janice', 'Gill', TO_DATE('1976-01-30', 'YYYY-MM-DD'), 'Group', 'F', 'L00078', 'justinbaker@example.com', '+1-473-797-7654')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00079', 'Lori', 'Rasmussen', TO_DATE('1945-10-08', 'YYYY-MM-DD'), 'Senior Citizen', 'M', 'L00075', 'cameron08@example.com', '+1-541-472-7212')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00080', 'Karen', 'Miller', TO_DATE('1998-01-12', 'YYYY-MM-DD'), 'Couple', 'F', 'L00070', 'maria22@example.org', '494.965.8776x24')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00081', 'Haley', 'Holden', TO_DATE('1969-02-09', 'YYYY-MM-DD'), 'Group', 'F', 'L00101', 'jimmy99@example.com', '747-363-9046')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00082', 'Jordan', 'Kelly', TO_DATE('2006-02-15', 'YYYY-MM-DD'), 'Student', 'M', 'L00012', 'marywilliams@example.net', '953-542-5980x73')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00083', 'Jeffrey', 'Burton', TO_DATE('1962-05-09', 'YYYY-MM-DD'), 'Senior Citizen', 'M', 'L00103', 'laneruben@example.org', '+1-384-931-1592')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00084', 'Michelle', 'Owens', TO_DATE('1960-05-30', 'YYYY-MM-DD'), 'Senior Citizen', 'M', 'L00040', 'sarahhall@example.net', '876.526.8462x35')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00085', 'Richard', 'Paul', TO_DATE('1953-02-15', 'YYYY-MM-DD'), 'Senior Citizen', 'O', 'L00026', 'rojasjohn@example.net', '001-997-678-127')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00086', 'Riley', 'Gillespie', TO_DATE('1983-10-05', 'YYYY-MM-DD'), 'Group', 'M', 'L00080', 'matthewjackson@example.net', '673-621-1194x43')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00087', 'Diane', 'Baldwin', TO_DATE('1956-11-14', 'YYYY-MM-DD'), 'Senior Citizen', 'M', 'L00084', 'gsmith@example.com', '(511)762-2419x9')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00088', 'Tracy', 'Smith', TO_DATE('1950-10-13', 'YYYY-MM-DD'), 'Senior Citizen', 'F', 'L00051', 'jacobmontoya@example.com', '+1-870-848-5332')
INTO Fall24_S003_T8_Travelers (T_ID, First_Name, Last_Name, DOB, Demographic_Type, Sex, Location_ID, Email, Phone) VALUES ('T00089', 'Anna', 'Jackson', TO_DATE('1944-01-19', 'YYYY-MM-DD'), 'Senior Citizen', 'F', 'L00051', 'prios@example.org', '+1-345-262-1527')
